"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1997"	"1997"	"85+ years"	"85+"	28348	213458	13280.4
	"1997"	"1997"	"Not Stated"	"NS"	28	Not Applicable	Not Applicable
"Total"	"1997"	"1997"			132410	18396151	719.8
	"1998"	"1998"	"< 1 year"	"1"	3843	299795	1281.9
	"1998"	"1998"	"1-4 years"	"1-4"	602	1234180	48.8
	"1998"	"1998"	"5-9 years"	"5-9"	388	1714847	22.6
	"1998"	"1998"	"10-14 years"	"10-14"	313	1544543	20.3
	"1998"	"1998"	"15-19 years"	"15-19"	643	1520323	42.3
	"1998"	"1998"	"20-24 years"	"20-24"	994	1366116	72.8
	"1998"	"1998"	"25-34 years"	"25-34"	3662	2913772	125.7
	"1998"	"1998"	"35-44 years"	"35-44"	8415	2984697	281.9
	"1998"	"1998"	"45-54 years"	"45-54"	11905	2079531	572.5
	"1998"	"1998"	"55-64 years"	"55-64"	16423	1283284	1279.8
	"1998"	"1998"	"65-74 years"	"65-74"	26333	959603	2744.2
	"1998"	"1998"	"75-84 years"	"75-84"	32099	573090	5601.0
	"1998"	"1998"	"85+ years"	"85+"	29377	221677	13252.2
	"1998"	"1998"	"Not Stated"	"NS"	26	Not Applicable	Not Applicable
"Total"	"1998"	"1998"			135023	18695458	722.2
"Total"					2348718	320894114	731.9
"---"
"Dataset: Compressed Mortality, 1979-1998"
"Query Parameters:"
"Gender: Female"
"Race: Black or African American"
"Group By: Year; Age Group"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Jun 29, 2020 1:21:59 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Compressed Mortality File"
"1979-1998. CDC WONDER On-line Database, compiled from Compressed Mortality File CMF 1968-1988, Series 20, No. 2A, 2000 and CMF"
"1989-1998, Series 20, No. 2E, 2003. Accessed at http://wonder.cdc.gov/cmf-icd9.html on Jun 29, 2020 1:21:59 PM"
"---"
Caveats:
"1. The population figures used in the calculation of death rates for the age group 'under 1 year' are the live births for the"
"given time period. More information: http://wonder.cdc.gov/wonder/help/cmf.html#Age Group."
"2. Population figures in this table for 1979 and 1981-89 are intercensal estimates of the July 1 resident population of the"
"United States. Note that the state and county population estimates for these years are not consistent with national estimates."
"The population figures in this table for 1980 and 1990 are modified age-race-sex (MARS) April 1 census counts. The population"
"figures for 1991-98 are bridged-race intercensal estimates of the July 1 resident population."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Not Stated."
