"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1988"	"1988"	"20-24 years"	"20-24"	6	7917099	0.1 (Unreliable)
	"1988"	"1988"	"25-34 years"	"25-34"	493	17850078	2.8
	"1988"	"1988"	"35-44 years"	"35-44"	2492	15004788	16.6
	"1988"	"1988"	"45-54 years"	"45-54"	4706	10495138	44.8
	"1988"	"1988"	"55-64 years"	"55-64"	8270	9967865	83.0
	"1988"	"1988"	"65-74 years"	"65-74"	9910	8867364	111.8
	"1988"	"1988"	"75-84 years"	"75-84"	7825	5484072	142.7
	"1988"	"1988"	"85+ years"	"85+"	3620	1905976	189.9
	"1988"	"1988"	"Not Stated"	"NS"	3	Not Applicable	Not Applicable
"Total"	"1988"	"1988"			37327	105388603	35.4
	"1989"	"1989"	"< 1 year"	"1"	0	1554761	0.0 (Unreliable)
	"1989"	"1989"	"1-4 years"	"1-4"	0	5724368	0.0 (Unreliable)
	"1989"	"1989"	"5-9 years"	"5-9"	0	7018777	0.0 (Unreliable)
	"1989"	"1989"	"10-14 years"	"10-14"	0	6559858	0.0 (Unreliable)
	"1989"	"1989"	"15-19 years"	"15-19"	0	7108344	0.0 (Unreliable)
	"1989"	"1989"	"20-24 years"	"20-24"	3	7708877	0.0 (Unreliable)
	"1989"	"1989"	"25-34 years"	"25-34"	494	17829834	2.8
	"1989"	"1989"	"35-44 years"	"35-44"	2651	15456765	17.2
	"1989"	"1989"	"45-54 years"	"45-54"	4753	10780038	44.1
	"1989"	"1989"	"55-64 years"	"55-64"	7876	9793451	80.4
	"1989"	"1989"	"65-74 years"	"65-74"	10153	8967877	113.2
	"1989"	"1989"	"75-84 years"	"75-84"	8279	5604412	147.7
	"1989"	"1989"	"85+ years"	"85+"	3778	1961458	192.6
	"1989"	"1989"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
"Total"	"1989"	"1989"			37988	106068820	35.8
	"1990"	"1990"	"< 1 year"	"1"	0	1602185	0.0 (Unreliable)
	"1990"	"1990"	"1-4 years"	"1-4"	0	5761780	0.0 (Unreliable)
	"1990"	"1990"	"5-9 years"	"5-9"	0	7058274	0.0 (Unreliable)
	"1990"	"1990"	"10-14 years"	"10-14"	0	6647468	0.0 (Unreliable)
	"1990"	"1990"	"15-19 years"	"15-19"	0	6971165	0.0 (Unreliable)
	"1990"	"1990"	"20-24 years"	"20-24"	9	7627737	0.1 (Unreliable)
	"1990"	"1990"	"25-34 years"	"25-34"	470	17756776	2.6
	"1990"	"1990"	"35-44 years"	"35-44"	2711	15834123	17.1
	"1990"	"1990"	"45-54 years"	"45-54"	4845	10946272	44.3
	"1990"	"1990"	"55-64 years"	"55-64"	7609	9698092	78.5
	"1990"	"1990"	"65-74 years"	"65-74"	10248	9047655	113.3
	"1990"	"1990"	"75-84 years"	"75-84"	8430	5687364	148.2
	"1990"	"1990"	"85+ years"	"85+"	3962	2001136	198.0
	"1990"	"1990"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
"Total"	"1990"	"1990"			38286	106640027	35.9
	"1991"	"1991"	"< 1 year"	"1"	0	1582196	0.0 (Unreliable)
	"1991"	"1991"	"1-4 years"	"1-4"	0	5875294	0.0 (Unreliable)
	"1991"	"1991"	"5-9 years"	"5-9"	0	7130320	0.0 (Unreliable)
	"1991"	"1991"	"10-14 years"	"10-14"	0	6898264	0.0 (Unreliable)
	"1991"	"1991"	"15-19 years"	"15-19"	1	6697113	0.0 (Unreliable)
	"1991"	"1991"	"20-24 years"	"20-24"	6	7640454	0.1 (Unreliable)
	"1991"	"1991"	"25-34 years"	"25-34"	487	17667493	2.8
	"1991"	"1991"	"35-44 years"	"35-44"	2624	16555202	15.9
	"1991"	"1991"	"45-54 years"	"45-54"	4828	11244662	42.9
	"1991"	"1991"	"55-64 years"	"55-64"	7563	9604393	78.7
	"1991"	"1991"	"65-74 years"	"65-74"	10020	9131275	109.7
	"1991"	"1991"	"75-84 years"	"75-84"	8552	5844539	146.3
	"1991"	"1991"	"85+ years"	"85+"	4169	2113777	197.2
	"1991"	"1991"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1991"	"1991"			38250	107984982	35.4
	"1992"	"1992"	"< 1 year"	"1"	1	1559867	0.1 (Unreliable)
	"1992"	"1992"	"1-4 years"	"1-4"	0	5983543	0.0 (Unreliable)
	"1992"	"1992"	"5-9 years"	"5-9"	0	7162539	0.0 (Unreliable)
	"1992"	"1992"	"10-14 years"	"10-14"	0	7075192	0.0 (Unreliable)
	"1992"	"1992"	"15-19 years"	"15-19"	0	6668378	0.0 (Unreliable)
	"1992"	"1992"	"20-24 years"	"20-24"	5	7564612	0.1 (Unreliable)
	"1992"	"1992"	"25-34 years"	"25-34"	445	17478973	2.5
	"1992"	"1992"	"35-44 years"	"35-44"	2521	16723220	15.1
	"1992"	"1992"	"45-54 years"	"45-54"	4934	11989079	41.2
	"1992"	"1992"	"55-64 years"	"55-64"	6970	9530399	73.1
	"1992"	"1992"	"65-74 years"	"65-74"	10174	9191380	110.7
	"1992"	"1992"	"75-84 years"	"75-84"	8492	5949314	142.7
	"1992"	"1992"	"85+ years"	"85+"	4252	2195625	193.7
	"1992"	"1992"	"Not Stated"	"NS"	3	Not Applicable	Not Applicable
"Total"	"1992"	"1992"			37797	109072121	34.7
	"1993"	"1993"	"< 1 year"	"1"	0	1533501	0.0 (Unreliable)
	"1993"	"1993"	"1-4 years"	"1-4"	0	6072481	0.0 (Unreliable)
	"1993"	"1993"	"5-9 years"	"5-9"	0	7211778	0.0 (Unreliable)
	"1993"	"1993"	"10-14 years"	"10-14"	0	7245204	0.0 (Unreliable)
	"1993"	"1993"	"15-19 years"	"15-19"	0	6749044	0.0 (Unreliable)
	"1993"	"1993"	"20-24 years"	"20-24"	8	7448399	0.1 (Unreliable)
	"1993"	"1993"	"25-34 years"	"25-34"	390	17252941	2.3
	"1993"	"1993"	"35-44 years"	"35-44"	2394	17047069	14.0
	"1993"	"1993"	"45-54 years"	"45-54"	5063	12532210	40.4
	"1993"	"1993"	"55-64 years"	"55-64"	6816	9494874	71.8
	"1993"	"1993"	"65-74 years"	"65-74"	9843	9249270	106.4
	"1993"	"1993"	"75-84 years"	"75-84"	8840	6044328	146.3
	"1993"	"1993"	"85+ years"	"85+"	4690	2279874	205.7
	"1993"	"1993"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1993"	"1993"			38044	110160973	34.5
	"1994"	"1994"	"< 1 year"	"1"	0	1521401	0.0 (Unreliable)
	"1994"	"1994"	"1-4 years"	"1-4"	0	6096502	0.0 (Unreliable)
	"1994"	"1994"	"5-9 years"	"5-9"	0	7317770	0.0 (Unreliable)
	"1994"	"1994"	"10-14 years"	"10-14"	0	7345293	0.0 (Unreliable)
	"1994"	"1994"	"15-19 years"	"15-19"	2	6890176	0.0 (Unreliable)
	"1994"	"1994"	"20-24 years"	"20-24"	10	7275679	0.1 (Unreliable)
	"1994"	"1994"	"25-34 years"	"25-34"	390	17057964	2.3
	"1994"	"1994"	"35-44 years"	"35-44"	2454	17367855	14.1
	"1994"	"1994"	"45-54 years"	"45-54"	5210	13049744	39.9
	"1994"	"1994"	"55-64 years"	"55-64"	6540	9513437	68.7
	"1994"	"1994"	"65-74 years"	"65-74"	9809	9254450	106.0
	"1994"	"1994"	"75-84 years"	"75-84"	8948	6137562	145.8
	"1994"	"1994"	"85+ years"	"85+"	4597	2351953	195.5
	"1994"	"1994"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1994"	"1994"			37960	111179786	34.1
	"1995"	"1995"	"< 1 year"	"1"	0	1510458	0.0 (Unreliable)
	"1995"	"1995"	"1-4 years"	"1-4"	0	6038803	0.0 (Unreliable)
	"1995"	"1995"	"5-9 years"	"5-9"	0	7440124	0.0 (Unreliable)
	"1995"	"1995"	"10-14 years"	"10-14"	0	7418207	0.0 (Unreliable)
	"1995"	"1995"	"15-19 years"	"15-19"	1	7062318	0.0 (Unreliable)
	"1995"	"1995"	"20-24 years"	"20-24"	5	7096032	0.1 (Unreliable)
	"1995"	"1995"	"25-34 years"	"25-34"	374	16875115	2.2
	"1995"	"1995"	"35-44 years"	"35-44"	2483	17686020	14.0
	"1995"	"1995"	"45-54 years"	"45-54"	5277	13574568	38.9
	"1995"	"1995"	"55-64 years"	"55-64"	6517	9548153	68.3
	"1995"	"1995"	"65-74 years"	"65-74"	9547	9243329	103.3
	"1995"	"1995"	"75-84 years"	"75-84"	8823	6240344	141.4
	"1995"	"1995"	"85+ years"	"85+"	4909	2423216	202.6
	"1995"	"1995"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
"Total"	"1995"	"1995"			37937	112156687	33.8
	"1996"	"1996"	"< 1 year"	"1"	0	1508634	0.0 (Unreliable)
	"1996"	"1996"	"1-4 years"	"1-4"	0	5963489	0.0 (Unreliable)
	"1996"	"1996"	"5-9 years"	"5-9"	0	7568233	0.0 (Unreliable)
	"1996"	"1996"	"10-14 years"	"10-14"	1	7492096	0.0 (Unreliable)
	"1996"	"1996"	"15-19 years"	"15-19"	0	7258062	0.0 (Unreliable)
	"1996"	"1996"	"20-24 years"	"20-24"	10	6900199	0.1 (Unreliable)
	"1996"	"1996"	"25-34 years"	"25-34"	371	16693415	2.2
	"1996"	"1996"	"35-44 years"	"35-44"	2307	17985735	12.8
	"1996"	"1996"	"45-54 years"	"45-54"	5149	14089331	36.5
	"1996"	"1996"	"55-64 years"	"55-64"	6418	9632190	66.6
	"1996"	"1996"	"65-74 years"	"65-74"	9075	9176514	98.9
	"1996"	"1996"	"75-84 years"	"75-84"	8818	6370429	138.4
	"1996"	"1996"	"85+ years"	"85+"	5068	2490781	203.5
	"1996"	"1996"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
"Total"	"1996"	"1996"			37218	113129108	32.9
	"1997"	"1997"	"< 1 year"	"1"	0	1499018	0.0 (Unreliable)
	"1997"	"1997"	"1-4 years"	"1-4"	0	5893585	0.0 (Unreliable)
	"1997"	"1997"	"5-9 years"	"5-9"	0	7691675	0.0 (Unreliable)
	"1997"	"1997"	"10-14 years"	"10-14"	0	7537853	0.0 (Unreliable)
	"1997"	"1997"	"15-19 years"	"15-19"	1	7429588	0.0 (Unreliable)
	"1997"	"1997"	"20-24 years"	"20-24"	7	6895088	0.1 (Unreliable)
	"1997"	"1997"	"25-34 years"	"25-34"	366	16413044	2.2
	"1997"	"1997"	"35-44 years"	"35-44"	2338	18204085	12.8
	"1997"	"1997"	"45-54 years"	"45-54"	5221	14629907	35.7
