"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
"Total"	"1977"	"1977"			34481	112901716	30.5
	"1978"	"1978"	"< 1 year"	"1"	3	1623885	0.2 (Unreliable)
	"1978"	"1978"	"1-4 years"	"1-4"	0	6062000	0.0 (Unreliable)
	"1978"	"1978"	"5-9 years"	"5-9"	0	8465000	0.0 (Unreliable)
	"1978"	"1978"	"10-14 years"	"10-14"	0	9262000	0.0 (Unreliable)
	"1978"	"1978"	"15-19 years"	"15-19"	5	10555000	0.0 (Unreliable)
	"1978"	"1978"	"20-24 years"	"20-24"	20	10373000	0.2
	"1978"	"1978"	"25-34 years"	"25-34"	560	17562000	3.2
	"1978"	"1978"	"35-44 years"	"35-44"	2111	12431000	17.0
	"1978"	"1978"	"45-54 years"	"45-54"	6094	11994000	50.8
	"1978"	"1978"	"55-64 years"	"55-64"	9042	11215000	80.6
	"1978"	"1978"	"65-74 years"	"65-74"	8361	8499000	98.4
	"1978"	"1978"	"75-84 years"	"75-84"	5743	4646000	123.6
	"1978"	"1978"	"85+ years"	"85+"	2386	1443000	165.3
	"1978"	"1978"	"Not Stated"	"NS"	4	Not Applicable	Not Applicable
"Total"	"1978"	"1978"			34329	114130885	30.1
"Total"					346498	1190767295	29.1
"---"
"Dataset: Compressed Mortality, 1968-1978"
"Query Parameters:"
"Gender: Female"
"ICD-8 Codes: 174 (Malignant neoplasm of breast)"
"Group By: Year; Age Group"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Jul 2, 2020 2:14:55 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Compressed Mortality File"
"1968-1978. CDC WONDER Online Database, compiled from Compressed Mortality File CMF 1968-1988, Series 20, No. 2A, 2000. Accessed"
"at http://wonder.cdc.gov/cmf-icd8.html on Jul 2, 2020 2:14:55 PM"
"---"
Caveats:
"1. About national population figures: population figures for 1968-69 and 1971-78 are intercensal estimates of the July 1"
"resident population; population figures for 1970 are April 1 modified census counts. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Population Information."
"2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Unreliable."
"3. The population figures used in the calculation of death rates for the age group 'under 1 year' are the number of live births"
"for the given time period. More information: http://wonder.cdc.gov/wonder/help/cmf.html#Age Group."
"4. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Not Stated."
